,E13DBetn01r01r1,E13DBetn01r01r2,E13DBetn01r01r3,E13DBetn01r01r4
2000,44.719,40.595,34.775,34.452
2001,91.654,94.036,71.506,68.904
2002,37.02,66.48,31.03,13.339
2003,107.594,114.213,66.19,79.548
2004,181.18,178.251,92.651,73.02
2005,78.818,91.268,11.061,23.526
2006,274.556,292.97,101.032,100.648
2007,297.821,426.505,259.373,232.151
2008,212.382,368.782,209.531,134.903
2009,170.562,313.737,105.023,117.249
2010,385.667,502.819,173.269,183.503
2011,160.305,291.087,40.364,22.082
2012,167.861,201.466,15.271,7.945
2013,67.1425,71.821,13.1005,11.651
2014,67.1425,71.821,13.1005,11.651
2015,14.551,4.573,4.888,2.42
2016,50.594,43.221,11.993,1.941
2017,37.961,7.559,1.768,6.076
2018,86.503,18.657,2.236,1.909
2019,76.239,42.996,15.676,2.044
2020,101.379,118.451,24.308,1.903
