,E13ABetn01r09r1,E13ABetn01r09r2,E13ABetn01r09r3,E13ABetn01r09r4
2001,0.001,67.814,78.242,29.159
2002,30.41,18.015,61.003,46.404
2003,0.001,21.19,70.875,27.299
2004,0.001,61.396,104.362,90.663
2005,59.554,24.483,71.103,40.601
2006,0.001,0.001,14.171,0.001
2007,0.001,0.001,102.625,0.001
2008,0.001,0.001,123.588,0.001
2009,0.001,0.001,25.548,0.001
2010,15.022,0.001,30.545,0.001
2011,0.001,51.39,58.335,19.606
2012,0.001,0.001,32.021,0.001
2013,7.403,0.001,38.16,0.001
2014,0.001,60.129,49.318,46.598
2015,0.001,38.181,32.927,0.001
2016,0.001,54.001,60.323,0.001
2017,0.001,0.001,44.35,0.001
2018,12.846,48.81,39.871,0.001
2019,33.66,30.972,13.04,33.359
2020,37.173,7.29,15.519,7.469
