,E13ABetn01r04r1,E13ABetn01r04r2,E13ABetn01r04r3,E13ABetn01r04r4
1975,127.721,133.108,142.832,137.222
1976,106.715,100.972,107.183,101.755
1977,111.259,98.636,150.719,140.989
1978,145.951,141.253,141.522,163.688
1979,145.267,172.513,162.754,207.376
1980,147.947,165.29,174.951,188.848
1981,153.055,121.145,156.706,185.096
1982,96.739,54.138,207.263,245.66
1983,44.995,35.088,93.679,137.985
1984,20.426,36.738,77.163,65.246
1985,44.043,27.32,102.691,111.058
1986,28.119,23.862,114.56,128.927
1987,37.755,40.891,136.451,142.1
1988,66.984,49.637,116.538,123.089
1989,93.896,47.157,160.823,136.065
1990,86.273,5.617,127.576,103.957
1991,139.657,79.636,196.939,177.944
1992,83.689,75.178,110.571,119.83
1993,96.619,106.082,135.769,143.595
1994,11.096,10.002,9.031,57.295
1995,14.599,7.546,32.563,59.704
1996,5.884,9.325,4.724,14.144
1997,62.027,88.783,79.322,69.404
1998,7.443,19.318,3.923,17.279
1999,6.326,30.005,3.923,22.484
2000,5.548,8.639,5.115,22.608
2001,40.016,48.086,36.316,47.743
2002,41.34,54.499,16.175,21.167
2003,27.46,22.364,1.961,9.417
2004,67.092,96.292,78.85,33.746
2005,33.345,3.163,10.991,5.769
2006,40.636,47.018,7.546,48.771
2007,39.278,33.701,29.422,43.552
2008,36.168,59.649,37.226,58.974
2009,31.93,21.982,5.617,14.841
2010,82.213,81.598,64.131,82.064
2011,83.153,96.431,96.16,78.391
2012,18.084,49.846,70.885,72.342
2013,14.599,34.79,26.051,7.546
2014,25.088,35.524,96.16,16.007
2015,40.56,41.931,95.263,2.668
2016,68.427,29.422,114.035,26.769
2017,67.697,59.733,93.185,19.79
2018,52.959,35.793,39.639,1.754
2019,43.631,29.825,23.538,0.981
2020,17.762,3.722,36.884,0.981
