,E13VBetn01s01r1,E13VBetn01s01r2,E13VBetn01s01r3,E13VBetn01s01r4
2001,226.799,177.903,181.118,179.851
2002,152.003,151.727,127.095,109.567
2003,246.48,189.099,116.553,83.809
2004,231.42,185.102,148.846,114.415
2005,171.65,121.219,118.961,116.365
2006,135.36,73.865,71.706,50.435
2007,158.711,208.95,98.841,73.929
2008,53.482,110.207,47.986,72.264
2009,29.406,101.572,42.176,32.722
2010,0,0,0,0
2011,1.459,48.828,18.606,0.829
2012,1.376,75.314,6.522,1.444
2013,1.491,100.759,4.348,1.098
2014,1.414,131.809,19.686,1.376
2015,1.282,79.415,3.437,1.698
2016,1.376,36.539,3.437,0.973
2017,1.658,26.312,2.174,1.645
2018,1.359,122.576,41.904,1.348
2019,1.433,47.64,1.913,1.074
2020,0,0,0,0
